# Joint xGASS & xCOLD GASS catalog used in Feldmann 2020, Communications Physics
# The xGASS catalog is publicly available at http://xgass.icrar.org and it was published in Catinella, B. et al. 2018, Mon. Not. R. Astron. Soc. 476, 875–895 (C18). 
# The xCOLD GASS catalog is publicly available at http://www.star.ucl.ac.uk/xCOLDGASS and it was published in Saintonge, A. et al. 2017, Astrophys. J. Suppl. Ser. 233, 22 (S17).
# This combined catalog uses improved stellar masses from the MPA-JHU catalogue for DR7 available at https://home.strw.leidenuniv.nl/~jarle/SDSS/
# #
# Content of this file:
# ID            .. GASS/xGASS identifier 
# z             .. redshift: zHI from C18 for HI detected objects, zSDSS otherwise
# lgMstar       .. stellar mass (from MPA-JHU DR7)
# lgMstar_p16   .. 16th percentile of uncertainty of lgMstar
# lgMstar_p84   .. 84th percentile of uncertainty of lgMstar
# lgMstar_C18   .. stellar masses provided in C18
# SFR_case      .. case of UV+MIR SFR calculation provided in C18
# SFR_source    .. source catalog of SFR: from S17 if 'xCOLDGASS', from C18 otherwise (default)
# SFR           .. SFR in solar masses / year from either S17 (10**LOGSFR_BEST) or from C18 (SFR_best), SFR is set to NaN if SFR_censored=True or if SFR_case is neither 1 nor 2
# e_SFR         .. corresponding 1-sigma uncertainty of the SFR from either S17 (based on LOGSFR_ERR and LOGSFR_BEST), C18 (SFRerr_best), or provided by a fit if missing
# SFR_censored  .. flag indicating whether SFR < e_SFR
# SFR_limit     .. set to e_SFR for galaxies with SFR_censored == True
# e_SFR_est     .. flag showing whether errors of SFRs where estimated (instead of given) 
# MHI           .. HI masses calculated as described in the Appendix in C18
# e_MHI         .. 1-sigma uncertainty of the HI masses
# MHI_censored  .. flag indicating HI non-detections (HIsrc_x == 4 in C18) 
# MHI_limit     .. set to 5 * e_MHI for galaxies with MHI_censored == True
# MH2           .. H2 masses calculated from LCO_COR and XCO_A17 fields in S17
# e_MH2         .. 1-sigma uncertainty of the H2 masses, propagated observational uncertainty of CO observations (based on LCO_COR and LCO_COR_ERR entries in S17) 
# MH2_censored  .. flag indicating CO non-detections (FLAG_CO == 2 in S17)
# MH2_limit     .. set to 3 * e_MH2 for galaxies with MH2_censored == True
# in_C18        .. if True (False) Galaxy is (not) part of xGASS catalog
# in_S17        .. if True (False) Galaxy is (not) part of xCOLD GASS catalog
ID,z,lgMstar,lgMstar_p16,lgMstar_p84,lgMstar_C18,SFR_case,SFR_source,SFR,e_SFR,SFR_censored,SFR_limit,e_SFR_est,MHI,e_MHI,MHI_censored,MHI_limit,MH2,e_MH2,MH2_censored,MH2_limit,in_C18,in_S17
11956,0.039654,10.08772,9.998121000000001,10.18267,10.088,1.0,,0.4737959,0.19376613,False,,False,1573806198.7126758,286146581.5841229,False,0.0,,128407224.87633231,True,385221674.62899697,True,True
12025,0.03665,10.843328999999999,10.759369,10.915786,10.843,2.0,,0.20872729999999998,0.18344067,False,,False,,239899860.62987608,True,1199499303.1493804,,106989817.23736998,True,320969451.71211,True,True
12002,0.036719999999999996,10.481644000000001,10.394494,10.568431,10.482000000000001,9.0,,0.012814033999999998,0.06809143395548188,False,,True,,91628377.34290661,True,458141886.71453303,,111537232.27989301,True,334611696.83967906,True,True
11989,0.041922,10.693692,10.600096,10.771717,10.693,2.0,,,0.06591428,True,0.06591428,False,1276464819.421231,239337153.64148083,False,0.0,,114450222.79751761,True,343350668.39255285,True,True
27167,0.038093,10.372341,10.276629,10.469836,10.372,2.0,,0.15956831,0.12907287,False,,False,4098516850.213152,661051104.8730891,False,0.0,,110045792.72842166,True,330137378.185265,True,True
3189,0.038583,10.045755,9.955947,10.1331,10.046,9.0,,2.3247159,0.23779300234575726,False,,True,5626464790.427978,542309859.3183593,False,0.0,1220174643.871272,290640268.638032,False,,True,True
3261,0.037449,10.077677,9.996889999999999,10.182592,10.078,9.0,,1.4676183,0.21075721659400615,False,,True,9716172009.608915,511377474.18994296,False,0.0,1170701585.438408,241372351.7472688,False,,True,True
3318,0.03968000039458275,10.532658,10.438360000000001,10.624458,10.533,,xCOLDGASS,0.07354009727579876,0.10983587467126495,False,,True,,,False,,,117246288.14546669,True,351738864.43640006,False,True
3439,0.03854,10.350133999999999,10.249805,10.455655,10.35,2.0,,0.51822215,0.15918376,False,,False,3652570935.0342283,473481417.50443697,False,0.0,,106272994.63573864,True,318818983.90721595,True,True
3465,0.029224,10.188022,10.0945635,10.284655,10.187999999999999,2.0,,0.21533248,0.11357228,False,,False,2735536885.5417876,234474590.1892961,False,0.0,434142492.37091,127208161.775108,False,,True,True
3645,0.030744999999999998,10.330153999999999,10.2350645,10.422959,10.33,2.0,,0.1513175,0.119271114,False,,False,3416151224.6507974,302696943.9563998,False,0.0,,83453403.27283332,True,250360209.81849998,True,True
3509,0.048353,10.804657,10.714243,10.902660000000001,10.805,1.0,,1.2419494,0.33765963,False,,False,2955291170.075598,527730566.08492815,False,0.0,1890009302.33684,413951376.117343,False,,True,True
3524,0.038096,10.730266,10.634649000000001,10.827492,10.73,1.0,,0.32041538,0.20248187,False,,False,2842960427.0804896,396692152.6158823,False,0.0,839093912.1256499,212867404.33692598,False,,True,True
3519,0.042766000000000005,10.744661,10.657007,10.840675,10.745,9.0,,2.9608626,0.30152181464252725,False,,True,3483961114.948206,580660185.8247011,False,0.0,1694043351.6655998,362087087.60599995,False,,True,True
3504,0.038016,10.158767999999998,10.057086,10.2543125,10.158999999999999,1.0,,0.73919475,0.10763356,False,,False,4740647245.687321,395053937.14061004,False,0.0,842969062.583615,170131552.921572,False,,True,True
3821,0.04473,10.867509,10.774664,10.953497,10.868,2.0,,,0.13208851,True,0.13208851,False,,212828603.6448637,True,1064143018.2243185,,161509171.07808,True,484527513.23424006,True,True
3819,0.045364999999999996,10.671469,10.5516205,10.804967,10.671,1.0,,10.75065,0.37081729999999996,False,,False,8842084645.331778,837671176.9261683,False,0.0,7404779142.766859,1297123184.2942917,False,,True,True
4094,0.02755,10.5509405,10.4633465,10.634903999999999,10.552,9.0,,0.045101453,0.0975214756339524,False,,True,,110670021.84314743,True,553350109.2157371,,79683351.86830601,True,239050055.60491803,True,True
4195,0.04451,10.618111,10.525777,10.704003,10.618,9.0,,0.24345593,0.15444843666414382,False,,True,,148262048.26018324,True,741310241.3009162,,138294677.18824,True,414884031.56472003,True,True
4137,0.044561,10.899405999999999,10.813158,10.979341999999999,10.9,9.0,,0.18514463,0.1597158671812534,False,,True,3595447529.4844155,449430941.18555194,False,0.0,,161699026.30373332,True,485097078.9112,True,True
